plant,nutrients
almond,nitrogen phosphorus potassium calcium magnesium chlorine manganese boron zinc
aloe vera,nitrogen phosphorus potassium calcuim magnesium sulphur copper zinc boron
apple,nitrogen phosphorus potassium calcuim magnesium sulphur
apple gourd,nitrogen phosphorus potassium iron
apricot,nitrogen phosphorus potassium
avocados,nitrogen phosphorus potassium zinc calcium magnesium boron iron manganese
bamboo,nitrogen
bananas,nitrogen phosphorus potassium calcium magnesium sulfur boron zinc
banyan,nitrogen potassium phosphorus
beans,nitrogen phosphorus potassium calcium manganese iron
beetroot,nitrogen phosphorus potassium
betelvine,potassium zinc magnesium nitrogen
blackberries,nitrogen phosphorus potassium
bottle gourd,nitrogen potassium magnesium sulphur
bougainvillea,nitrogen phosphorus potassium
brinjal,potassium
broccoli,boron
cabbage,calcium magnesium sulphur zinc
capsicum,sodium potassium
cardamom,iron calcium nitrogen hydrogen manganese carbon potassium phosphorus
carrot,copper molybdenum vitamins magnesium zinc carbon potassium
cashew,calcium nitrogen vitamins manganese boron phosphorus
cherry,molybdenum manganese zinc sodium phosphorus
chikoo,manganese zinc chlorine carbon sodium potassium
chillies,copper molybdenum hydrogen manganese boron phosphorus
cinnamon,iron magnesium carbon
clove,copper zinc
cocoa,hydrogen carbon sodium potassium phosphorus
coconut,copper iron calcium vitamins manganese carbon potassium sulfur hydrogen
coffee,iron calcium manganese magnesium chlorine carbon sulfur
coriander,copper molybdenum manganese chlorine carbon
corn,potassium iron
cotton,sulfur zinc
cucumber,nitrogen molybdenum zinc boron carbon
custard apple,nitrogen molybdenum phosphorus zinc chlorine sodium potassium hydrogen
dahlia,copper manganese magnesium potassium hydrogen
dates,copper potassium carbon
fenugreek,copper vitamins
fox brush orchid,sulfur molybdenum phosphorus
frangipani,copper iron molybdenum boron sulfur hydrogen
ginger,molybdenum hydrogen vitamins sulfur phosphorus
grape,sodium copper molybdenum hydrogen
groundnut,iron nitrogen phosphorus magnesium zinc chlorine boron hydrogen
guava,copper sulfur iron chlorine
hibiscus,molybdenum manganese magnesium chlorine sodium
jasmine,copper molybdenum
jowar,sodium nitrogen hydrogen vitamins
jute,molybdenum chlorine
lemon,copper calcium molybdenum carbon zinc chlorine boron sulfur hydrogen
lemongrass,copper iron calcium molybdenum manganese chlorine potassium hydrogen
lettuce,molybdenum vitamins zinc boron hydrogen
lichi,copper sodium chlorine phosphorus
maize,potassium sulfur magnesium boron
mandarins,nitrogen manganese zinc sodium sulfur phosphorus
mangoes,chlorine boron
maple,nitrogen potassium calcium sulphur magnesium calcium
marigold,iron calcium vitamins boron hydrogen
melon,copper nitrogen calcium
millets,calcium nitrogen manganese sodium potassium phosphorus
moong,calcium vitamins magnesium zinc boron chlorine phosphorus
neem,nitrogen phosphurus potassium
nutmeg,iron manganese chlorine sulfur phosphorus
okra,nitrogen manganese potassium
onion,calcium
orange,manganese sulfur hydrogen
pansy,nitrogen hydrogen
papaya,iron calcium manganese zinc boron sulfur hydrogen
peach,copper sulfur zinc
peaches,copper nitrogen molybdenum vitamins carbon hydrogen
pear,iron molybdenum chlorine carbon potassium
peas,magnesium molybdenum carbon
pepper,calcium boron
pepper_bell,copper calcium manganese magnesium carbon sulfur hydrogen
pineapple,nitrogen copper calcium
plum,calcium vitamins manganese carbon phosphorus
pomegranate,copper vitamins chlorine phosphorus
potato,potassium sulfur carbon
pumpkin,copper iron chlorine potassium phosphorus
radish,nitrogen iron calcium hydrogen
raspberries,iron nitrogen vitamins sodium zinc potassium
rice,molybdenum hydrogen magnesium sodium phosphorus
rose,vitamins sulfur molybdenum phosphorus
silk,zinc hydrogen phosphorus
sitafal,sulfur magnesium zinc
soybean,sodium manganese chlorine vitamins
spinach,calcium molybdenum vitamins manganese magnesium zinc chlorine potassium
strawberry,copper molybdenum zinc hydrogen
sugarcane,calcium nitrogen zinc potassium phosphorus
tea,copper calcium nitrogen sodium sulfur
tomato,sodium magnesium
tomatoes,copper calcium nitrogen boron sodium potassium
tulsi,copper molybdenum
tur,magnesium zinc chlorine sodium potassium phosphorus
turmeric,copper manganese chlorine potassium hydrogen
turnip,molybdenum vitamins zinc chlorine boron sulfur phosphorus
urad,iron nitrogen molybdenum vitamins chlorine carbon
walnut,copper nitrogen manganese magnesium zinc chlorine phosphorus
water melon,vitamins manganese chlorine carbon boron hydrogen
wheat,nitrogen hydrogen
zinnia,copper molybdenum vitamins chlorine boron potassium
